Year of Sanction,State,Destination,Name of the Experience,Sanctioned Cost (Rs. in Crore)
2023-24,Andhra Pradesh,Araku-Lambasingi,Borra Cave Experience at Araku,29.87
2023-24,Arunachal Pradesh,Nacho,Unlock Nacho Expedition,14.02
2023-24,Arunachal Pradesh,Mechuka,Mechuka Cultural Haat,18.48
2023-24,Arunachal Pradesh,Mechuka,Mechuka Adventure Park,12.75
2023-24,Assam,Kokrajhar,Kokrajhar Wetland Experience,26.67
2023-24,Assam,Jorhat,Reimagining Cinnamara Tea Estate,23.91
2024-25,Goa,Porvorim,Porvorim Creek Experience,23.56
2024-25,Goa,Colva,Colva Beach Experience,15.65
2023-24,Karnataka,Hampi,Setting up of ‘Traveller nooks’,26.3
2023-24,Karnataka,Mysuru,Tonga ride Heritage experience zone,4.12
2023-24,Karnataka,Mysuru,Ecological Experience Zone,18.36
2023-24,Kerala,Kumarakom,Kumarakom Bird Sanctuary Experience,13.92
2023-24,Ladakh,Leh,Julley Leh Biodiversity Park,24.89
2023-24,Ladakh,Kargil,Exploring LOC and Hundarman village Experience,12.01
2023-24,Madhya Pradesh,Gwalior,Phoolbagh Experience Zone,16.73
2023-24,Madhya Pradesh,Chitrakoot,Spiritual experience at Chitrakoot,27.21
2024-25,Maharashtra,Pune,Shivsrushti Historical Theme Park- Phase 3,76.22
2023-24,Meghalaya,Sohra,Waterfall Trails Experience,27.84
2023-24,Meghalaya,Sohra,Meghalayan Age Cave Experience,32.45
2024-25,Nagaland,Chumoukedima,Eco-Tourism Exp at Chumoukedima viewpoint,7.87
2023-24,Nagaland,Chumuoukedima,Tribal Cultural Experience at Midway Retreat,21.56
2023-24,Puducherry,Karaikal,Karaikal beach and waterfront experience,20.29
2023-24,Punjab,Kapurthala,Eco Tourism experience at Kanjli wetland,20.06
2024-25,Punjab,Amritsar,Border Tourism Experience at Attari,25.9
2023-24,Rajasthan,Bundi,"Spiritual Experience, Keshavraipatan",17.37
2023-24,Sikkim,Gyalshing,Eco-Wellness Experience at Yuksom Cluster,15.4
2023-24,Sikkim,Gangtok,Gangtok Cultural Village,22.59
2023-24,Tamil Nadu,Mamallapuram,Immersive experience at Shore Temple,30.02
2023-24,Telangana,Bhongir,Bhongir Fort Experiential Zone,56.81
2023-24,Telangana,Ananathagiri,Eco tourism zone at Ananathgiri forest,38
2023-24,Uttar Pradesh,Prayagraj,Azad Park and Dekho Prayagraj Trail Exp,13.02
2023-24,Uttar Pradesh,Naimisaranya,Vedic- wellness Experience,15.94
2023-24,Uttarakhand,Pithoragarh,Rural Tourism Cluster Experience at Gunji,32.2
2023-24,Uttarakhand,Champawat,Tea Garden Experience,11.21
Total,Total,Total,Total,793.2
